Div;Date;HomeTeam;AwayTeam;KEY;Home_Team Size;Home_Market Value total;Home_Market Value avg;Away_Team Size;Away_Market Value total;Away_Market Value avg;FTHG (Full Time Home Team Goals9;FTAG (Full Time Away Team Goals);FTR (Full Time Result);HTHG (Half Time Home Team Goals);HTAG (Half Time Away Team Goals);HTR (Half Time Result);HS (Home Team Shots);AS (Away Team Shots);HAST (Home Team Shots on Target);AST (Away Team Shots on Target);HF (Home Team Fouls Committed);AF (Away Team Fouls Committed);HC (Home Team Corners);AC (Away Team Corners);HY (Home Team Yellow Cards);AY (Away Team Yellow Cards);HR (Home Team Red Cards);AR (Away Team Red Cards);Home #Win;Home #Draw;Home #Defeat;Away #Win;Away #Draw;Away #Defeat;Home goals scored;Home goals collected;Away goals scored;Away goals collected;Home Position in the table;Away Position in the table
D1;24.08.2018;FC Bayern München;1899 Hoffenheim;24.08.18_FC Bayern München_1899 Hoffenheim;24;844,65;35,19;30;200,80;6,69;3;1;Home Win;1;0;Home Win;16;8;5;5;2;21;7;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D1;25.08.2018;Fortuna Düsseldorf;FC Augsburg;25.08.18_Fortuna Düsseldorf_FC Augsburg;30;35,50;1,18;31;96,35;3,11;1;2;Away Win;1;0;Home Win;9;14;5;7;11;10;7;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D1;25.08.2018;SC Freiburg;Eintracht Frankfurt;25.08.18_SC Freiburg_Eintracht Frankfurt;28;83,13;2,97;36;126,75;3,52;0;2;Away Win;0;1;Away Win;22;10;6;2;7;12;6;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D1;25.08.2018;Hertha BSC Berlin;1. FC Nürnberg;25.08.18_Hertha BSC Berlin_1. FC Nürnberg;33;119,25;3,61;24;28,28;1,18;1;0;Home Win;1;0;Home Win;10;12;3;3;13;10;8;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D1;25.08.2018;Borussia Mönchengladbach;Bayer 04 Leverkusen;25.08.18_Borussia Mönchengladbach_Bayer 04 Leverkusen;30;197,53;6,58;27;364,70;13,51;2;0;Home Win;0;0;Draw;17;13;7;3;10;10;9;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D1;25.08.2018;Werder Bremen;Hannover 96;25.08.18_Werder Bremen_Hannover 96;32;111,40;3,48;27;34,13;1,26;1;1;Draw;0;0;Draw;15;13;3;4;5;6;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D1;25.08.2018;VfL Wolfsburg;FC Schalke 04;25.08.18_VfL Wolfsburg_FC Schalke 04;34;140,30;4,13;27;245,70;9,10;2;1;Home Win;1;0;Home Win;11;9;7;4;16;11;7;2;5;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
D1;26.08.2018;Borussia Dortmund;RB Leipzig;26.08.18_Borussia Dortmund_RB Leipzig;29;378,25;13,04;28;298,65;10,67;4;1;Home Win;3;1;Home Win;10;10;5;7;8;11;7;9;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D1;26.08.2018;FSV Mainz 05;VfB Stuttgart;26.08.18_FSV Mainz 05_VfB Stuttgart;28;84,48;3,02;25;59,40;2,38;1;0;Home Win;0;0;Draw;8;12;3;3;15;6;6;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D1;31.08.2018;Hannover 96;Borussia Dortmund;31.08.18_Hannover 96_Borussia Dortmund;26;34,13;1,31;29;412,30;14,22;0;0;Draw;0;0;Draw;7;8;0;3;11;5;4;1;0;0;0;0;0;1;0;1;0;0;1;1;4;1;11;7
