Sample;Distance in [km];Carrier;Country pair;Lead time;Equipment;Volume yearly [m3];Customer;Domestic;Origin region;Destination region;Holiday;Driver stress level;Loading meter;Driver exp in years;Inflation rate;Pick up time;Carrier Hub Loc;Price
1;663,79;Carrier1;FR-DE;22,12633333;Mega;1840;Customer4;no;Origin_east;Dest_east;0;40;0;11;1;16pm;DE;918,6760239
2;465,093;Carrier2;DE-FR;15,5031;Standard;1920;Customer1;no;Origin_north;Dest_north;1;28;7;39;4;14pm;FR;777,0332637
3;1505,548;Carrier3;DE-GB;50,18493333;Standard;480;Customer1;no;Origin_south;Dest_east;1;28;3;23;2;15pm;PL;1358,899987
4;1284,343;Carrier4;GB-DE;42,81143333;Standard;4720;Customer1;no;Origin_east;Dest_west;1;13;9;22;2;14pm;HU;1249,050469
5;1157,473;Carrier5;GB-DE;38,58243333;Mega;1200;Customer4;no;Origin_west;Dest_south;0;28;0;32;2;14pm;NL;1104,227008
6;595,386;Carrier6;DE-FR;19,8462;Standard;5280;Customer1;no;Origin_west;Dest_south;0;37;7;32;4;16pm;TR;891,8936944
7;124,728;Carrier7;DE-DE;4,1576;Standard;5680;Customer1;yes;Origin_east;Dest_south;1;11;7;29;1;16pm;GB;618,1482671
8;302,932;Carrier1;DE-DE;10,09773333;Mega;2720;Customer4;yes;Origin_north;Dest_west;0;32;11;37;-1;15pm;DE;619,8116634
9;2684,814;Carrier2;TR-DE;89,4938;Standard;3280;Customer1;no;Origin_east;Dest_south;0;31;10;10;4;16pm;FR;2022,513688
10;1361,259;Carrier3;DE-GB;45,3753;Standard;560;Customer1;no;Origin_north;Dest_south;1;39;4;10;-1;16pm;PL;1277,386008
11;925,474;Carrier4;PL-DE;30,84913333;Standard;7520;Customer1;no;Origin_north;Dest_south;1;15;8;30;-1;16pm;HU;1055,390074
12;802,036;Carrier5;DE-HU;26,73453333;Standard;1600;Customer1;no;Origin_west;Dest_east;0;17;10;16;-1;16pm;NL;944,4393461
13;311,929;Carrier6;PL-DE;10,39763333;Standard;2400;Customer5;no;Origin_north;Dest_east;1;18;10;36;1;14pm;TR;652,460338
14;1371,802;Carrier7;DE-GB;45,72673333;Standard;5760;Customer1;no;Origin_east;Dest_south;1;30;8;24;1;16pm;GB;1336,795952
15;810,116;Carrier1;PL-DE;27,00386667;Mega;4560;Customer5;no;Origin_east;Dest_south;1;39;3;10;1;16pm;DE;930,8778005
16;677,996;Carrier2;DE-FR;22,59986667;Standard;4880;Customer1;no;Origin_north;Dest_east;0;38;12;2;3;16pm;FR;918,4878992
17;1018,784;Carrier3;DE-GB;33,95946667;Standard;1680;Customer1;no;Origin_west;Dest_north;1;38;4;22;1;15pm;PL;1090,317262
18;1651,934;Carrier4;GB-DE;55,06446667;Standard;3120;Customer1;no;Origin_north;Dest_north;1;27;2;18;2;14pm;HU;1447,116303
19;787,535;Carrier5;NL-DE;26,25116667;Standard;4800;Customer1;no;Origin_south;Dest_north;1;19;13;24;1;14pm;NL;980,2313274
20;1146,408;Carrier6;PL-DE;38,2136;Standard;6960;Customer1;no;Origin_east;Dest_east;1;37;4;5;0;15pm;TR;1186,028358
21;501,984;Carrier7;DE-DE;16,7328;Mega;7840;Customer5;yes;Origin_west;Dest_west;0;12;3;13;1;15pm;GB;822,2421381
22;677,139;Carrier1;DE-CZ;22,5713;Standard;800;Customer3;no;Origin_west;Dest_north;1;16;13;32;0;15pm;DE;918,5765436
23;736,616;Carrier2;CZ-DE;24,55386667;Standard;6960;Customer3;no;Origin_west;Dest_west;1;27;2;36;2;15pm;FR;994,7598364
24;762,6;Carrier3;NL-DE;25,42;Standard;880;Customer1;no;Origin_east;Dest_east;0;33;3;22;4;14pm;PL;930,2973501
25;634,747;Carrier4;DE-PL;21,15823333;Standard;7680;Customer1;no;Origin_east;Dest_west;1;31;10;40;4;16pm;HU;895,5435906
26;510,564;Carrier5;FR-DE;17,0188;Standard;7280;Customer1;no;Origin_east;Dest_west;0;28;14;4;-1;14pm;NL;839,7656331
27;450,551;Carrier6;DE-DE;15,01836667;Standard;5200;Customer1;yes;Origin_east;Dest_east;1;23;0;26;-1;15pm;TR;795,7336688
28;1005,048;Carrier7;DE-FR;33,5016;Standard;3440;Customer1;no;Origin_east;Dest_west;1;39;9;24;2;15pm;GB;1116,635905
29;846,626;Carrier1;FR-DE;28,22086667;Standard;7520;Customer1;no;Origin_south;Dest_south;1;11;7;19;1;14pm;DE;1014,961173
30;1326,362;Carrier2;GB-DE;44,21206667;Standard;1520;Customer1;no;Origin_north;Dest_west;0;24;3;36;-1;16pm;FR;1242,129445
31;1214,156;Carrier3;FR-DE;40,47186667;Standard;6080;Customer1;no;Origin_west;Dest_south;1;25;7;19;4;15pm;PL;1222,902483
32;47,182;Carrier4;DE-DE;1,572733333;Mega;3280;Customer5;yes;Origin_east;Dest_north;0;17;8;9;4;15pm;HU;518,9603823
33;1348,579;Carrier5;DE-PL;44,95263333;Standard;7440;Customer1;no;Origin_south;Dest_east;1;27;5;8;2;15pm;NL;1304,318733
34;1120,488;Carrier6;GB-DE;37,3496;Standard;5280;Customer1;no;Origin_east;Dest_south;1;13;13;22;4;15pm;TR;1168,516875
35;893,87;Carrier7;PL-DE;29,79566667;Standard;1520;Customer1;no;Origin_south;Dest_east;1;14;2;32;2;16pm;GB;1009,322632
36;258,654;Carrier1;FR-DE;8,6218;Standard;5600;Customer1;no;Origin_south;Dest_west;1;23;8;6;2;15pm;DE;667,3038779
37;405,524;Carrier2;FR-DE;13,51746667;Mega;5120;Customer4;no;Origin_east;Dest_east;0;18;6;20;2;16pm;FR;699,0997308
38;829,883;Carrier3;DE-PL;27,66276667;Standard;3040;Customer1;no;Origin_north;Dest_north;1;18;1;34;3;15pm;PL;970,1800666
39;691,981;Carrier4;FR-DE;23,06603333;Standard;5120;Customer1;no;Origin_west;Dest_north;1;11;3;20;1;15pm;HU;923,6946877
40;230,956;Carrier5;DE-DE;7,698533333;Mega;3840;Customer4;yes;Origin_north;Dest_west;0;22;7;12;0;14pm;NL;604,2092342
41;633,951;Carrier6;CZ-DE;21,1317;Standard;7840;Customer1;no;Origin_north;Dest_west;0;22;12;27;3;15pm;TR;905,0064099
42;668,364;Carrier7;NL-DE;22,2788;Standard;1120;Customer1;no;Origin_west;Dest_east;0;18;3;39;-1;14pm;GB;895,9513568
43;298,543;Carrier1;CZ-DE;9,951433333;Mega;4720;Customer2;no;Origin_north;Dest_east;1;19;0;10;1;14pm;DE;700,4415605
44;532,801;Carrier2;FR-DE;17,76003333;Standard;3120;Customer1;no;Origin_west;Dest_south;1;25;14;28;3;16pm;FR;810,5883771
45;839,933;Carrier3;DE-HU;27,99776667;Standard;7360;Customer1;no;Origin_west;Dest_south;1;10;6;9;2;14pm;PL;996,8085331
46;375,524;Carrier4;DE-DE;12,51746667;Mega;6080;Customer4;yes;Origin_west;Dest_east;1;35;3;8;4;14pm;HU;697,407285
47;380,725;Carrier5;CZ-DE;12,69083333;Standard;7200;Customer1;no;Origin_east;Dest_north;1;27;3;32;3;16pm;NL;752,1697479
48;884,458;Carrier6;DE-FR;29,48193333;Standard;2880;Customer1;no;Origin_east;Dest_east;0;27;9;31;-1;14pm;TR;1039,783725
49;2492,118;Carrier7;TR-DE;83,0706;Standard;3200;Customer1;no;Origin_west;Dest_east;1;21;6;4;0;16pm;GB;1934,359032
50;617,594;Carrier1;DE-DE;20,58646667;Mega;480;Customer5;yes;Origin_west;Dest_north;1;30;4;15;-1;14pm;DE;810,9381717
51;202,418;Carrier2;DE-FR;6,747266667;Standard;7520;Customer1;no;Origin_north;Dest_east;0;19;8;5;4;15pm;FR;666,1781238
52;427,739;Carrier3;CZ-DE;14,25796667;Standard;2800;Customer1;no;Origin_west;Dest_west;0;40;8;39;3;14pm;PL;739,7895309
53;419,509;Carrier4;DE-CZ;13,98363333;Standard;2000;Customer1;no;Origin_west;Dest_west;0;40;7;22;-1;14pm;HU;738,4381715
54;356,576;Carrier5;DE-DE;11,88586667;Standard;3200;Customer5;yes;Origin_south;Dest_west;0;40;9;5;4;14pm;NL;696,569231
55;2835,972;Carrier6;TR-DE;94,5324;Standard;2800;Customer1;no;Origin_south;Dest_south;1;25;12;35;3;16pm;TR;2122,803485
56;907,756;Carrier7;FR-DE;30,25853333;Standard;2400;Customer1;no;Origin_west;Dest_south;0;26;12;39;0;14pm;GB;1040,918898
57;567,73717;Carrier1;FR-DE;18,92457233;Standard;720;Customer1;no;Origin_south;Dest_west;1;31;12;33;1;15pm;DE;809,5021108
58;545,871;Carrier2;DE-CZ;18,1957;Standard;7920;Customer1;no;Origin_north;Dest_east;1;29;12;2;1;14pm;FR;842,2414894
59;362,42297;Carrier3;CZ-DE;12,08076567;Standard;4480;Customer1;no;Origin_south;Dest_north;0;20;2;33;-1;14pm;PL;714,2167341
60;2448,06263;Carrier4;TR-DE;81,60208767;Standard;4640;Customer1;no;Origin_south;Dest_south;0;20;7;19;-1;15pm;HU;1905,992217
61;1197,147;Carrier5;FR-DE;39,9049;Standard;1520;Customer1;no;Origin_west;Dest_west;1;38;12;34;3;14pm;NL;1190,648357
62;1469,837;Carrier6;DE-FR;48,99456667;Standard;6480;Customer1;no;Origin_south;Dest_west;0;14;7;3;-1;14pm;TR;1397,519983
63;3902,855;Carrier7;TR-DE;130,0951667;Standard;4240;Customer1;no;Origin_south;Dest_north;0;19;6;8;1;15pm;GB;2743,916044
64;866,038;Carrier1;DE-FR;28,86793333;Standard;5840;Customer1;no;Origin_north;Dest_north;1;23;1;35;3;15pm;DE;1027,663925
65;1192,872;Carrier2;DE-GB;39,7624;Standard;4640;Customer1;no;Origin_east;Dest_south;0;17;3;23;3;16pm;FR;1205,288801
66;997,153;Carrier3;DE-HU;33,23843333;Standard;6240;Customer1;no;Origin_south;Dest_west;1;24;2;10;1;14pm;PL;1078,553801
67;476,455;Carrier4;DE-CZ;15,88183333;Standard;5920;Customer1;no;Origin_west;Dest_east;0;11;11;27;2;14pm;HU;797,8163795
68;733,183;Carrier5;DE-CZ;24,43943333;Mega;800;Customer2;no;Origin_north;Dest_south;1;22;8;15;4;14pm;NL;942,7140942
69;1406,845;Carrier6;DE-GB;46,89483333;Standard;1040;Customer1;no;Origin_south;Dest_west;1;32;6;30;1;15pm;TR;1319,82371
70;361,443;Carrier7;DE-DE;12,0481;Standard;7440;Customer1;yes;Origin_west;Dest_west;1;26;5;15;-1;15pm;GB;764,8568726
71;687,858;Carrier1;CZ-DE;22,9286;Mega;7280;Customer4;no;Origin_west;Dest_east;0;13;3;24;4;14pm;DE;856,9196396
72;466,54;Carrier2;DE-CZ;15,55133333;Standard;800;Customer1;no;Origin_north;Dest_west;0;32;1;10;2;15pm;FR;748,1278553
73;1173,1;Carrier3;DE-HU;39,10333333;Mega;2400;Customer2;no;Origin_north;Dest_north;1;21;5;12;-1;15pm;PL;1181,945687
74;1135,09;Carrier4;GB-DE;37,83633333;Standard;1200;Customer1;no;Origin_east;Dest_east;1;23;3;15;4;16pm;HU;1139,911905
75;480,624;Carrier5;CZ-DE;16,0208;Standard;4400;Customer1;no;Origin_north;Dest_south;0;17;14;19;2;16pm;NL;789,7340563
76;1110,979;Carrier6;PL-DE;37,03263333;Standard;880;Customer1;no;Origin_west;Dest_south;1;30;2;22;0;14pm;TR;1124,014822
77;973,769;Carrier7;DE-HU;32,45896667;Standard;5360;Customer1;no;Origin_west;Dest_south;1;20;9;36;0;15pm;GB;1076,832518
78;201,827;Carrier1;DE-CZ;6,727566667;Mega;2400;Customer5;no;Origin_west;Dest_west;0;19;3;3;2;16pm;DE;578,8198329
79;1126,312;Carrier2;GB-DE;37,54373333;Standard;4000;Customer1;no;Origin_west;Dest_west;1;12;9;31;4;15pm;FR;1145,401277
80;1215,561;Carrier3;FR-DE;40,5187;Standard;880;Customer1;no;Origin_south;Dest_north;1;19;12;15;3;16pm;PL;1187,910436
81;847,153;Carrier4;DE-FR;28,23843333;Standard;4880;Customer1;no;Origin_east;Dest_south;0;38;4;12;3;16pm;HU;1023,49912
82;592,723;Carrier5;DE-DE;19,75743333;Mega;2640;Customer2;yes;Origin_west;Dest_south;0;30;12;2;3;16pm;NL;884,2790756
83;468,989;Carrier6;DE-DE;15,63296667;Mega;7120;Customer2;yes;Origin_east;Dest_west;0;33;3;2;3;15pm;TR;849,1487329
84;829,844;Carrier7;NL-DE;27,66146667;Standard;4640;Customer1;no;Origin_west;Dest_north;0;29;9;25;2;14pm;GB;1011,994588
85;642,872;Carrier1;FR-DE;21,42906667;Standard;6480;Customer1;no;Origin_west;Dest_east;0;29;3;15;0;14pm;DE;891,9022238
86;1041,767;Carrier2;PL-DE;34,72556667;Standard;2240;Customer1;no;Origin_north;Dest_east;0;34;14;9;1;14pm;FR;1076,423953
87;690,671;Carrier3;FR-DE;23,02236667;Standard;3760;Customer1;no;Origin_north;Dest_west;0;36;14;14;3;15pm;PL;909,166096
88;432,846;Carrier4;DE-DE;14,4282;Standard;5120;Customer1;yes;Origin_west;Dest_east;0;23;10;16;2;15pm;HU;776,2944424
89;933,475;Carrier5;PL-DE;31,11583333;Standard;1520;Customer1;no;Origin_east;Dest_north;0;21;13;17;4;15pm;NL;1023,055462
90;1869,238;Carrier6;DE-GB;62,30793333;Standard;480;Customer1;no;Origin_north;Dest_east;0;11;12;9;2;15pm;TR;1578,974069
91;833,15;Carrier7;FR-DE;27,77166667;Mega;4480;Customer4;no;Origin_west;Dest_east;0;27;4;27;-1;16pm;GB;959,9278028
92;370,147;Carrier1;DE-DE;12,33823333;Standard;5600;Customer1;yes;Origin_north;Dest_south;1;27;6;20;0;15pm;DE;730,7272061
93;845,72;Carrier2;PL-DE;28,19066667;Mega;4000;Customer4;no;Origin_west;Dest_north;1;22;6;3;2;16pm;FR;924,1514262
94;3736,524;Carrier3;TR-DE;124,5508;Standard;5680;Customer1;no;Origin_west;Dest_west;1;21;8;37;3;15pm;PL;2641,643309
95;836,055;Carrier4;DE-PL;27,8685;Standard;4640;Customer1;no;Origin_south;Dest_south;1;36;11;10;0;14pm;HU;989,1319134
96;303,12;Carrier5;DE-DE;10,104;Standard;4080;Customer1;yes;Origin_north;Dest_north;1;33;14;6;-1;15pm;NL;699,7574674
97;1584,755;Carrier6;GB-DE;52,82516667;Standard;4240;Customer1;no;Origin_west;Dest_west;0;30;11;38;-1;14pm;TR;1425,45234
98;143,34;Carrier7;DE-DE;4,778;Mega;1520;Customer4;yes;Origin_south;Dest_east;1;26;8;27;4;16pm;GB;547,1991486
99;921,195;Carrier1;PL-DE;30,7065;Mega;2080;Customer4;no;Origin_north;Dest_east;1;35;8;20;1;14pm;DE;949,444251
100;1210,786;Carrier2;DE-GB;40,35953333;Standard;5840;Customer1;no;Origin_south;Dest_north;0;18;1;28;0;16pm;FR;1223,742388
101;1095,93575;Carrier3;DE-HU;36,53119167;Mega;6160;Customer5;no;Origin_west;Dest_east;0;10;3;9;1;16pm;PL;1108,857561
102;240,493;Carrier4;DE-DE;8,016433333;Mega;6400;Customer5;yes;Origin_east;Dest_north;0;13;11;38;2;14pm;HU;650,3635437
103;222,341;Carrier5;DE-DE;7,411366667;Standard;6640;Customer1;yes;Origin_north;Dest_east;1;19;5;27;3;15pm;NL;671,4367166
104;568,401;Carrier6;FR-DE;18,9467;Standard;3680;Customer1;no;Origin_east;Dest_south;1;29;0;39;2;16pm;TR;852,2870834
105;1076,829;Carrier7;GB-DE;35,8943;Standard;5360;Customer1;no;Origin_north;Dest_east;0;14;1;39;4;15pm;GB;1148,646194
106;1239,462;Carrier1;DE-PL;41,3154;Standard;7040;Customer1;no;Origin_east;Dest_south;0;25;4;35;0;16pm;DE;1221,878607
107;871,538;Carrier2;DE-PL;29,05126667;Standard;6160;Customer1;no;Origin_south;Dest_east;1;27;3;7;2;15pm;FR;1010,945417
108;161,408;Carrier3;DE-DE;5,380266667;Standard;5280;Customer1;yes;Origin_south;Dest_east;1;37;12;39;2;16pm;PL;618,6032399
