KEY;FTHG (Full Time Home Team Goals9;FTAG (Full Time Away Team Goals);FTR (Full Time Result);HTHG (Half Time Home Team Goals);HTAG (Half Time Away Team Goals);HTR (Half Time Result)
24.08.18_FC Bayern München_1899 Hoffenheim;3;1;Home Win;1;0;Home Win
25.08.18_Fortuna Düsseldorf_FC Augsburg;1;2;Away Win;1;0;Home Win
25.08.18_SC Freiburg_Eintracht Frankfurt;0;2;Away Win;0;1;Away Win
25.08.18_Hertha BSC Berlin_1. FC Nürnberg;1;0;Home Win;1;0;Home Win
25.08.18_Borussia Mönchengladbach_Bayer 04 Leverkusen;2;0;Home Win;0;0;Draw
25.08.18_Werder Bremen_Hannover 96;1;1;Draw;0;0;Draw
25.08.18_VfL Wolfsburg_FC Schalke 04;2;1;Home Win;1;0;Home Win
26.08.18_Borussia Dortmund_RB Leipzig;4;1;Home Win;3;1;Home Win
26.08.18_FSV Mainz 05_VfB Stuttgart;1;0;Home Win;0;0;Draw
31.08.18_Hannover 96_Borussia Dortmund;0;0;Draw;0;0;Draw
01.09.18_FC Augsburg_Borussia Mönchengladbach;1;1;Draw;1;0;Home Win
01.09.18_Eintracht Frankfurt_Werder Bremen;1;2;Away Win;0;1;Away Win
01.09.18_1899 Hoffenheim_SC Freiburg;3;1;Home Win;0;1;Away Win
01.09.18_Bayer 04 Leverkusen_VfL Wolfsburg;1;3;Away Win;1;1;Draw
01.09.18_1. FC Nürnberg_FSV Mainz 05;1;1;Draw;0;1;Away Win
01.09.18_VfB Stuttgart_FC Bayern München;0;3;Away Win;0;1;Away Win
02.09.18_RB Leipzig_Fortuna Düsseldorf;1;1;Draw;0;0;Draw
02.09.18_FC Schalke 04_Hertha BSC Berlin;0;2;Away Win;0;1;Away Win
14.09.18_Borussia Dortmund_Eintracht Frankfurt;3;1;Home Win;1;0;Home Win
15.09.18_FC Bayern München_Bayer 04 Leverkusen;3;1;Home Win;2;1;Home Win
15.09.18_Fortuna Düsseldorf_1899 Hoffenheim;2;1;Home Win;1;0;Home Win
15.09.18_FSV Mainz 05_FC Augsburg;2;1;Home Win;0;0;Draw
15.09.18_Borussia Mönchengladbach_FC Schalke 04;2;1;Home Win;1;0;Home Win
